task1,task2,seed,mode,lr,steps,eps,warmup_steps,lambda_kl,task1_success_rate,task2_success_rate,avg_success_rate,harmonic_mean_success_rate,auc_task1,auc_task2,avg_auc
1,3,42,self_replay,5e-05,200,1.0,0,1.0,0.1,0.9,0.5,0.18,0.165,0.855,0.51
1,3,42,self_replay,2.5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.085,0.945,0.515
1,3,42,self_replay,2.5e-05,200,0.5,0,1.0,0.1,0.7,0.4,0.175,0.09,0.93,0.51
1,3,42,self_replay,2.5e-05,200,0.75,0,1.0,0.0,0.9,0.45,0.0,0.085,0.94,0.5125
1,3,42,self_replay,5e-05,200,0.5,0,1.0,0.8,0.7,0.75,0.7467,0.2,0.845,0.5225
1,3,42,self_replay,5e-05,200,0.75,0,1.0,0.4,1.0,0.7,0.5714,0.18,0.86,0.52
3,1,42,self_replay,5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.045,0.74,0.3925
3,1,42,self_replay,2.5e-05,200,1.0,0,1.0,0.4,1.0,0.7,0.5714,0.64,0.5,0.57
3,1,42,self_replay,2.5e-05,200,0.5,0,1.0,1.0,0.1,0.55,0.1818,0.67,0.455,0.5625
3,1,42,self_replay,2.5e-05,200,0.75,0,1.0,0.8,0.1,0.45,0.1778,0.66,0.455,0.5575
3,1,42,self_replay,5e-05,200,0.5,0,1.0,0.6,0.2,0.4,0.3,0.075,0.7,0.3875
3,1,42,self_replay,5e-05,200,0.75,0,1.0,0.2,0.9,0.55,0.3273,0.055,0.735,0.395
5,4,42,self_replay,5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.11,0.885,0.4975
5,4,42,self_replay,2.5e-05,200,1.0,0,1.0,0.2,0.9,0.55,0.3273,0.19,0.865,0.5275
5,4,42,self_replay,2.5e-05,200,0.5,0,1.0,0.9,0.7,0.8,0.7875,0.225,0.855,0.54
5,4,42,self_replay,2.5e-05,200,0.75,0,1.0,0.6,0.9,0.75,0.72,0.21,0.865,0.5375
5,4,42,self_replay,5e-05,200,0.5,0,1.0,0.9,0.5,0.7,0.6429,0.155,0.86,0.5075
5,4,42,self_replay,5e-05,200,0.75,0,1.0,0.2,1.0,0.6,0.3333,0.12,0.885,0.5025
4,5,42,self_replay,5e-05,200,1.0,0,1.0,0.0,0.8,0.4,0.0,0.045,0.79,0.4175
4,5,42,self_replay,2.5e-05,200,1.0,0,1.0,0.1,0.9,0.5,0.18,0.38,0.67,0.525
4,5,42,self_replay,2.5e-05,200,0.5,0,1.0,0.8,0.2,0.5,0.32,0.415,0.635,0.525
4,5,42,self_replay,2.5e-05,200,0.75,0,1.0,0.5,0.3,0.4,0.375,0.4,0.64,0.52
4,5,42,self_replay,5e-05,200,0.5,0,1.0,0.5,0.3,0.4,0.375,0.07,0.765,0.4175
4,5,42,self_replay,5e-05,200,0.75,0,1.0,0.0,0.8,0.4,0.0,0.045,0.79,0.4175
6,7,42,self_replay,5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.0,0.86,0.43
6,7,42,self_replay,2.5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.0,0.98,0.49
6,7,42,self_replay,2.5e-05,200,0.5,0,1.0,0.5,1.0,0.75,0.6667,0.025,0.98,0.5025
6,7,42,self_replay,2.5e-05,200,0.75,0,1.0,0.0,1.0,0.5,0.0,0.0,0.98,0.49
6,7,42,self_replay,5e-05,200,0.5,0,1.0,0.1,1.0,0.55,0.1818,0.005,0.86,0.4325
6,7,42,self_replay,5e-05,200,0.75,0,1.0,0.0,1.0,0.5,0.0,0.0,0.86,0.43
7,6,42,self_replay,5e-05,200,1.0,0,1.0,0.1,1.0,0.55,0.1818,0.41,0.72,0.565
7,6,42,self_replay,2.5e-05,200,1.0,0,1.0,0.2,0.7,0.45,0.3111,0.445,0.705,0.575
7,6,42,self_replay,2.5e-05,200,0.5,0,1.0,0.9,0.2,0.55,0.3273,0.48,0.68,0.58
7,6,42,self_replay,2.5e-05,200,0.75,0,1.0,0.7,0.5,0.6,0.5833,0.47,0.695,0.5825
7,6,42,self_replay,5e-05,200,0.5,0,1.0,0.6,0.0,0.3,0.0,0.435,0.67,0.5525
7,6,42,self_replay,5e-05,200,0.75,0,1.0,0.3,0.9,0.6,0.45,0.42,0.715,0.5675
1,3,42,cotraining,5e-05,200,1.0,0,1.0,1.0,0.7,0.85,0.8235,0.98,0.835,0.9075
1,3,42,cotraining,2.5e-05,200,1.0,0,1.0,0.9,1.0,0.95,0.9474,0.82,0.86,0.84
3,1,42,cotraining,5e-05,200,1.0,0,1.0,1.0,1.0,1.0,1.0,0.91,0.78,0.845
3,1,42,cotraining,2.5e-05,200,1.0,0,1.0,0.9,1.0,0.95,0.9474,0.92,0.665,0.7925
4,5,42,cotraining,5e-05,200,1.0,0,1.0,1.0,0.6,0.8,0.75,0.79,0.74,0.765
4,5,42,cotraining,2.5e-05,200,1.0,0,1.0,0.9,0.7,0.8,0.7875,0.875,0.725,0.8
5,4,42,cotraining,5e-05,200,1.0,0,1.0,1.0,0.8,0.9,0.8889,0.975,0.88,0.9275
5,4,42,cotraining,2.5e-05,200,1.0,0,1.0,1.0,0.8,0.9,0.8889,0.86,0.795,0.8275
6,7,42,cotraining,5e-05,200,1.0,0,1.0,0.8,1.0,0.9,0.8889,0.76,1.0,0.88
6,7,42,cotraining,2.5e-05,200,1.0,0,1.0,1.0,1.0,1.0,1.0,0.805,1.0,0.9025
7,6,42,cotraining,5e-05,200,1.0,0,1.0,0.9,0.5,0.7,0.6429,0.925,0.635,0.78
7,6,42,cotraining,2.5e-05,200,1.0,0,1.0,0.8,0.6,0.7,0.6857,0.96,0.68,0.82
3,1,42,noaugment,5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.215,0.83,0.5225
