mode,lr,steps,eps,seed,n_pairs,warmup_steps,lambda_kl,task1_success_rate,task2_success_rate,avg_success_rate,harmonic_mean_success_rate,auc_task1,auc_task2,avg_auc
cotraining,2.5e-05,200,1.0,42,6,0,1.0,0.9167,0.85,0.8833,0.8761,0.8733,0.7875,0.8304
cotraining,5e-05,200,1.0,42,6,0,1.0,0.95,0.7667,0.8583,0.8324,0.89,0.8117,0.8508
noaugment,2.5e-05,200,0.5,42,6,0,1.0,0.6333,0.5333,0.5833,0.3613,0.2883,0.815,0.5517
noaugment,2.5e-05,200,0.75,42,6,0,1.0,0.3167,0.75,0.5333,0.283,0.2725,0.8258,0.5492
noaugment,2.5e-05,200,1.0,42,6,0,1.0,0.1667,0.8833,0.525,0.1939,0.265,0.8325,0.5487
noaugment,5e-05,200,0.5,42,6,0,1.0,0.6833,0.5333,0.6083,0.429,0.1217,0.8517,0.4867
noaugment,5e-05,200,0.75,42,6,0,1.0,0.2,0.9167,0.5583,0.2676,0.0975,0.8708,0.4842
noaugment,5e-05,200,1.0,42,6,0,1.0,0.0167,0.9667,0.4917,0.0303,0.0883,0.8733,0.4808
onpolicy_self_replay,2.5e-05,200,0.5,42,6,0,1.0,0.75,0.5,0.625,0.3924,0.3533,0.755,0.5542
onpolicy_self_replay,2.5e-05,200,0.75,42,6,0,1.0,0.4833,0.7833,0.6333,0.4716,0.34,0.7692,0.5546
onpolicy_self_replay,2.5e-05,200,0.75,42,5,20,1.0,0.52,0.7,0.61,0.3966,0.419,0.662,0.5405
onpolicy_self_replay,2.5e-05,200,1.0,42,6,0,1.0,0.3167,0.85,0.5833,0.4075,0.3317,0.7725,0.5521
onpolicy_self_replay,2.5e-05,200,1.0,42,5,20,1.0,0.4,0.88,0.64,0.471,0.413,0.671,0.542
onpolicy_self_replay,5e-05,200,0.5,42,6,0,1.0,0.7167,0.4,0.5583,0.3039,0.2783,0.8167,0.5475
onpolicy_self_replay,5e-05,200,0.75,42,6,0,1.0,0.4833,0.8833,0.6833,0.5629,0.2667,0.8408,0.5537
onpolicy_self_replay,5e-05,200,0.75,42,4,20,1.0,0.625,0.7,0.6625,0.6586,0.4437,0.7225,0.5831
onpolicy_self_replay,5e-05,200,1.0,42,6,0,1.0,0.3833,0.95,0.6667,0.4928,0.2617,0.8442,0.5529
onpolicy_self_replay,5e-05,200,1.0,42,5,20,1.0,0.38,0.94,0.66,0.4603,0.358,0.765,0.5615
self_check,2.5e-05,200,1.0,42,6,0,0.5,0.4333,0.2333,0.3333,0.1282,0.5233,0.305,0.4142
self_check,2.5e-05,200,1.0,42,6,0,1.0,0.4,0.2833,0.3417,0.1865,0.4867,0.3083,0.3975
self_check,5e-05,200,1.0,42,6,0,0.5,0.1167,0.0667,0.0917,0.0389,0.1683,0.1383,0.1533
self_check,5e-05,200,1.0,42,6,0,1.0,0.1333,0.1167,0.125,0.0444,0.2033,0.1242,0.1637
self_replay,2.5e-05,200,0.5,42,6,0,1.0,0.7,0.4833,0.5917,0.4097,0.3175,0.7558,0.5367
self_replay,2.5e-05,200,0.75,42,6,0,1.0,0.4333,0.6167,0.525,0.3094,0.3042,0.7625,0.5333
self_replay,2.5e-05,200,1.0,42,6,0,1.0,0.15,0.9167,0.5333,0.2316,0.29,0.7775,0.5337
self_replay,5e-05,200,0.5,42,6,0,1.0,0.5833,0.45,0.5167,0.3744,0.1567,0.7833,0.47
self_replay,5e-05,200,0.75,42,6,0,1.0,0.1833,0.9333,0.5583,0.2803,0.1367,0.8075,0.4721
self_replay,5e-05,200,1.0,42,6,0,1.0,0.0333,0.95,0.4917,0.0603,0.1292,0.8083,0.4688
