metric,value
merging_eps,1.0
lambda_kl,0.5
phase1_eval_task1_success_rate,0.9
phase2_eval_task1_success_rate,0.1
phase2_eval_task2_success_rate,0.1
phase2_step0_task1_sr,1.0
phase2_step0_task2_sr,0.0
phase2_step20_task1_sr,0.0
phase2_step20_task2_sr,0.3
phase2_step40_task1_sr,0.0
phase2_step40_task2_sr,0.0
phase2_step60_task1_sr,0.0
phase2_step60_task2_sr,0.0
phase2_step80_task1_sr,0.0
phase2_step80_task2_sr,0.1
phase2_step100_task1_sr,0.0
phase2_step100_task2_sr,0.0
phase2_step120_task1_sr,0.1
phase2_step120_task2_sr,0.0
phase2_step140_task1_sr,0.0
phase2_step140_task2_sr,0.0
phase2_step160_task1_sr,0.1
phase2_step160_task2_sr,0.0
phase2_step180_task1_sr,0.0
phase2_step180_task2_sr,0.1
phase2_step200_task1_sr,0.1
phase2_step200_task2_sr,0.1
