metric,value
task_id,5
seed,42
rollout_episodes_per_iter,1
student_final_eval_10ep_success_rate,0.8
teacher_steps,100
teacher_lr,0.0001
teacher_eval_num_episodes,10
teacher_eval_success_rate,1.0
teacher_final_loss,0.015943963080644608
bc_steps_per_iter,20
bc_lr,2.5e-05
max_iters,50
cumulative_buffer,False
alignment_ratio_threshold,
n_iters_ran,37
final_success,True
stopped_reason,rollout_success
final_bc_buffer_size,67
distill_iter0_success_rate,0.0
distill_iter1_success_rate,0.0
distill_iter2_success_rate,0.0
distill_iter3_success_rate,0.0
distill_iter4_success_rate,0.0
distill_iter5_success_rate,0.0
distill_iter6_success_rate,0.0
distill_iter7_success_rate,0.0
distill_iter8_success_rate,0.0
distill_iter9_success_rate,0.0
distill_iter10_success_rate,0.0
distill_iter11_success_rate,0.0
distill_iter12_success_rate,0.0
distill_iter13_success_rate,0.0
distill_iter14_success_rate,0.0
distill_iter15_success_rate,0.0
distill_iter16_success_rate,0.0
distill_iter17_success_rate,0.0
distill_iter18_success_rate,0.0
distill_iter19_success_rate,0.0
distill_iter20_success_rate,0.0
distill_iter21_success_rate,0.0
distill_iter22_success_rate,0.0
distill_iter23_success_rate,0.0
distill_iter24_success_rate,0.0
distill_iter25_success_rate,0.0
distill_iter26_success_rate,0.0
distill_iter27_success_rate,0.0
distill_iter28_success_rate,0.0
distill_iter29_success_rate,0.0
distill_iter30_success_rate,0.0
distill_iter31_success_rate,0.0
distill_iter32_success_rate,0.0
distill_iter33_success_rate,0.0
distill_iter34_success_rate,0.0
distill_iter35_success_rate,0.0
distill_iter36_success_rate,1.0
