metric,value
task_id,5
seed,42
rollout_episodes_per_iter,1
student_final_eval_10ep_success_rate,0.1
teacher_steps,100
teacher_lr,0.0001
teacher_eval_num_episodes,10
teacher_eval_success_rate,1.0
teacher_final_loss,0.015943963080644608
bc_steps_per_iter,20
bc_lr,5e-05
max_iters,50
cumulative_buffer,False
alignment_ratio_threshold,
n_iters_ran,4
final_success,True
stopped_reason,rollout_success
final_bc_buffer_size,50
distill_iter0_success_rate,0.0
distill_iter1_success_rate,0.0
distill_iter2_success_rate,0.0
distill_iter3_success_rate,1.0
