metric,value
task_id,7
seed,42
rollout_episodes_per_iter,1
student_final_eval_10ep_success_rate,0.1
teacher_steps,100
teacher_lr,0.0001
teacher_eval_num_episodes,10
teacher_eval_success_rate,1.0
teacher_final_loss,0.009867237880825996
bc_steps_per_iter,20
bc_lr,2.5e-05
max_iters,25
cumulative_buffer,False
alignment_ratio_threshold,
align_min,
n_iters_ran,25
final_success,False
stopped_reason,max_iters
final_bc_buffer_size,80
full_experiment,True
distill_iter0_success_rate,0.0
distill_iter1_success_rate,0.0
distill_iter2_success_rate,0.0
distill_iter3_success_rate,0.0
distill_iter4_success_rate,0.0
distill_iter5_success_rate,0.0
distill_iter6_success_rate,0.0
distill_iter7_success_rate,0.0
distill_iter8_success_rate,0.0
distill_iter9_success_rate,0.0
distill_iter10_success_rate,0.0
distill_iter11_success_rate,0.0
distill_iter12_success_rate,0.0
distill_iter13_success_rate,0.0
distill_iter14_success_rate,0.0
distill_iter15_success_rate,0.0
distill_iter16_success_rate,0.0
distill_iter17_success_rate,0.0
distill_iter18_success_rate,0.0
distill_iter19_success_rate,0.0
distill_iter20_success_rate,0.0
distill_iter21_success_rate,0.0
distill_iter22_success_rate,0.0
distill_iter23_success_rate,0.0
distill_iter24_success_rate,0.0
periodic_eval10ep_iter4_success_rate,0.9
periodic_eval10ep_iter9_success_rate,0.3
periodic_eval10ep_iter14_success_rate,0.2
periodic_eval10ep_iter19_success_rate,0.1
periodic_eval10ep_iter24_success_rate,0.1
