metric,value
task_id,0
seed,42
rollout_episodes_per_iter,1
student_final_eval_10ep_success_rate,0.2
teacher_steps,200
teacher_lr,0.0001
teacher_eval_num_episodes,10
teacher_eval_success_rate,1.0
teacher_final_loss,0.009282859973609447
bc_steps_per_iter,20
n_epoch,1
bc_grad_steps_last_iter,1
bc_lr,5e-05
max_iters,100
cumulative_buffer,False
alignment_ratio_threshold,
align_min,
n_iters_ran,100
final_success,True
stopped_reason,max_iters
final_bc_buffer_size,64
full_experiment,True
student_action_merge,0.0
group_size,4
teacher_group_size,1
temporal_decay,1.0
l1_bc_loss,False
kl_lambda,0.0
max_teacher_variance,
grpo_like,True
grpo_grad_accum_per_trajectory,True
grpo_trust_eps,0.1
grpo_weight,none
grpo_weight_eps,1e-08
distill_collect_every,5
student_pretraining_steps,0
student_pretraining_lr,
student_pretraining_eval_interval,50
student_pretraining_eval_episodes,10
student_sft_prep_final_loss,
distill_iter0_success_rate,0.0
distill_iter1_success_rate,0.0
distill_iter2_success_rate,0.0
distill_iter3_success_rate,0.0
distill_iter4_success_rate,0.0
distill_iter5_success_rate,0.0
distill_iter6_success_rate,0.0
distill_iter7_success_rate,0.0
distill_iter8_success_rate,0.0
distill_iter9_success_rate,0.0
distill_iter10_success_rate,0.0
distill_iter11_success_rate,0.0
distill_iter12_success_rate,0.0
distill_iter13_success_rate,0.0
distill_iter14_success_rate,0.0
distill_iter15_success_rate,0.0
distill_iter16_success_rate,0.0
distill_iter17_success_rate,0.0
distill_iter18_success_rate,0.0
distill_iter19_success_rate,0.0
distill_iter20_success_rate,0.0
distill_iter21_success_rate,0.0
distill_iter22_success_rate,0.0
distill_iter23_success_rate,0.0
distill_iter24_success_rate,0.0
distill_iter25_success_rate,0.0
distill_iter26_success_rate,0.0
distill_iter27_success_rate,0.0
distill_iter28_success_rate,0.0
distill_iter29_success_rate,0.0
distill_iter30_success_rate,0.0
distill_iter31_success_rate,0.0
distill_iter32_success_rate,0.0
distill_iter33_success_rate,0.0
distill_iter34_success_rate,0.0
distill_iter35_success_rate,0.0
distill_iter36_success_rate,0.0
distill_iter37_success_rate,0.0
distill_iter38_success_rate,0.0
distill_iter39_success_rate,0.0
distill_iter40_success_rate,0.0
distill_iter41_success_rate,0.0
distill_iter42_success_rate,0.0
distill_iter43_success_rate,0.0
distill_iter44_success_rate,0.0
distill_iter45_success_rate,1.0
distill_iter46_success_rate,0.0
distill_iter47_success_rate,0.0
distill_iter48_success_rate,0.0
distill_iter49_success_rate,0.0
distill_iter50_success_rate,0.0
distill_iter51_success_rate,0.0
distill_iter52_success_rate,0.0
distill_iter53_success_rate,1.0
distill_iter54_success_rate,0.0
distill_iter55_success_rate,0.0
distill_iter56_success_rate,0.0
distill_iter57_success_rate,0.0
distill_iter58_success_rate,0.0
distill_iter59_success_rate,0.0
distill_iter60_success_rate,0.0
distill_iter61_success_rate,0.0
distill_iter62_success_rate,0.0
distill_iter63_success_rate,0.0
distill_iter64_success_rate,0.0
distill_iter65_success_rate,0.0
distill_iter66_success_rate,0.0
distill_iter67_success_rate,0.0
distill_iter68_success_rate,0.0
distill_iter69_success_rate,0.0
distill_iter70_success_rate,0.0
distill_iter71_success_rate,0.0
distill_iter72_success_rate,0.0
distill_iter73_success_rate,0.0
distill_iter74_success_rate,1.0
distill_iter75_success_rate,0.0
distill_iter76_success_rate,0.0
distill_iter77_success_rate,1.0
distill_iter78_success_rate,0.0
distill_iter79_success_rate,0.0
distill_iter80_success_rate,0.0
distill_iter81_success_rate,1.0
distill_iter82_success_rate,1.0
distill_iter83_success_rate,0.0
distill_iter84_success_rate,1.0
distill_iter85_success_rate,0.0
distill_iter86_success_rate,0.0
distill_iter87_success_rate,1.0
distill_iter88_success_rate,0.0
distill_iter89_success_rate,1.0
distill_iter90_success_rate,1.0
distill_iter91_success_rate,1.0
distill_iter92_success_rate,1.0
distill_iter93_success_rate,0.0
distill_iter94_success_rate,0.0
distill_iter95_success_rate,0.0
distill_iter96_success_rate,0.0
distill_iter97_success_rate,0.0
distill_iter98_success_rate,0.0
distill_iter99_success_rate,1.0
periodic_eval10ep_iter4_success_rate,0.0
periodic_eval10ep_iter9_success_rate,0.0
periodic_eval10ep_iter14_success_rate,0.1
periodic_eval10ep_iter19_success_rate,0.0
periodic_eval10ep_iter24_success_rate,0.0
periodic_eval10ep_iter29_success_rate,0.2
periodic_eval10ep_iter34_success_rate,0.1
periodic_eval10ep_iter39_success_rate,0.1
periodic_eval10ep_iter44_success_rate,0.0
periodic_eval10ep_iter49_success_rate,0.0
periodic_eval10ep_iter54_success_rate,0.0
periodic_eval10ep_iter59_success_rate,0.2
periodic_eval10ep_iter64_success_rate,0.1
periodic_eval10ep_iter69_success_rate,0.1
periodic_eval10ep_iter74_success_rate,0.1
periodic_eval10ep_iter79_success_rate,0.1
periodic_eval10ep_iter84_success_rate,0.1
periodic_eval10ep_iter89_success_rate,0.1
periodic_eval10ep_iter94_success_rate,0.3
periodic_eval10ep_iter99_success_rate,0.1
