metric,value
task_id,7
task2_id,0
seed,42
batch_size,32
single_episode,False
save_video,True
rollout_episodes,1
teacher_steps,200
teacher_steps_task2,200
teacher_lr,0.0001
teacher_eval_num_episodes,10
teacher_eval_success_rate_task1,1.0
teacher_eval_success_rate_task2,1.0
bc_steps,20
bc_steps_task2,20
bc_lr,2.5e-05
bc_lr_task2,2.5e-05
max_iters,20
max_iters_task2,20
cumulative_buffer,False
alignment_ratio_threshold,
align_min,
n_iters_phase1,20
n_iters_phase2,20
final_success_phase1,False
final_success_phase2,False
stopped_reason_phase1,max_iters
stopped_reason_phase2,max_iters
lora,True
action_expert_only,False
full_experiment,True
phase2_eval_interval,5
student_action_merge,0.75
periodic10ep_phase1_iter4_success_rate,0.4
periodic10ep_phase1_iter9_success_rate,0.1
periodic10ep_phase1_iter14_success_rate,0.2
periodic10ep_phase1_iter19_success_rate,0.1
student_final_eval_task1_10ep,0.0
student_final_eval_task2_10ep,0.0
phase1_distill_iter0_success_rate,0.0
phase1_distill_iter1_success_rate,0.0
phase1_distill_iter2_success_rate,0.0
phase1_distill_iter3_success_rate,0.0
phase1_distill_iter4_success_rate,0.0
phase1_distill_iter5_success_rate,0.0
phase1_distill_iter6_success_rate,0.0
phase1_distill_iter7_success_rate,0.0
phase1_distill_iter8_success_rate,0.0
phase1_distill_iter9_success_rate,0.0
phase1_distill_iter10_success_rate,0.0
phase1_distill_iter11_success_rate,0.0
phase1_distill_iter12_success_rate,0.0
phase1_distill_iter13_success_rate,0.0
phase1_distill_iter14_success_rate,0.0
phase1_distill_iter15_success_rate,0.0
phase1_distill_iter16_success_rate,0.0
phase1_distill_iter17_success_rate,0.0
phase1_distill_iter18_success_rate,0.0
phase1_distill_iter19_success_rate,0.0
phase2_iter0_rollout_sr_task2,0.0
phase2_iter1_rollout_sr_task2,0.0
phase2_iter2_rollout_sr_task2,0.0
phase2_iter3_rollout_sr_task2,0.0
phase2_iter4_rollout_sr_task2,0.0
phase2_iter4_eval10_task1,0.1
phase2_iter4_eval10_task2,0.0
phase2_iter5_rollout_sr_task2,0.0
phase2_iter6_rollout_sr_task2,0.0
phase2_iter7_rollout_sr_task2,0.0
phase2_iter8_rollout_sr_task2,0.0
phase2_iter9_rollout_sr_task2,0.0
phase2_iter9_eval10_task1,0.2
phase2_iter9_eval10_task2,0.0
phase2_iter10_rollout_sr_task2,0.0
phase2_iter11_rollout_sr_task2,0.0
phase2_iter12_rollout_sr_task2,0.0
phase2_iter13_rollout_sr_task2,0.0
phase2_iter14_rollout_sr_task2,0.0
phase2_iter14_eval10_task1,0.1
phase2_iter14_eval10_task2,0.0
phase2_iter15_rollout_sr_task2,0.0
phase2_iter16_rollout_sr_task2,0.0
phase2_iter17_rollout_sr_task2,0.0
phase2_iter18_rollout_sr_task2,0.0
phase2_iter19_rollout_sr_task2,0.0
phase2_iter19_eval10_task1,0.0
phase2_iter19_eval10_task2,0.0
