lr,ttt_frequency,seed,num_trials,ttt_num_steps,ttt_k,success_rate
2.5e-06,50,0,50,1,1,0.52
2.5e-06,50,0,50,1,8,0.5
2.5e-05,50,0,50,1,8,0.54
0.0,50,0,50,1,1,0.6
2.5e-06,50,0,50,4,8,0.58
2.5e-06,10,0,50,1,1,0.64
2.5e-05,10,0,50,1,8,0.6
2.5e-05,50,3,50,1,1,0.64
2.5e-05,50,2,50,1,1,0.4
2.5e-05,50,1,50,1,1,0.7
0.0,50,1,50,1,1,0.48
0.0,50,2,50,1,1,0.6
0.0,50,3,50,1,1,0.62
2.5e-05,10,1,50,1,1,0.48
0.00025,50,2,50,1,8,0.52
0.00025,50,1,50,1,8,0.6
0.00025,50,3,50,1,8,0.6
0.00025,50,1,50,1,1,0.56
0.00025,50,3,50,1,1,0.56
0.00025,50,2,50,1,8,0.56
0.00025,50,1,50,1,8,0.56
0.00025,50,3,50,1,8,0.54
0.00025,50,2,50,1,1,0.52
0.00025,50,1,50,1,4,0.68
0.00025,50,2,50,1,4,0.5
2.5e-05,50,3,50,1,4,0.64
2.5e-05,50,2,50,1,4,0.6
0.00025,50,3,50,1,4,0.6
2.5e-05,50,1,50,1,4,0.42
0.0025,50,1,50,1,4,0.56
0.0025,50,2,50,1,4,0.56
0.0025,50,3,50,1,4,0.66
2.5e-05,10,1,50,3,1,0.64
2.5e-05,10,2,50,3,1,0.5
2.5e-05,10,3,50,3,1,0.42
