lr,ttt_frequency,ttt_num_steps,batch_size,num_neighbors_fetch,merging_eps,seed,task_suite_name,task_id,success_rate,num_trials,use_lora,action_expert_only
0.00025,20,5,256,6,0.0,2,libero_90,0,0.14,50,False,True
0.00025,20,5,256,6,0.25,2,libero_90,0,0.0,50,False,True
0.00025,20,5,256,6,0.5,2,libero_90,0,0.0,50,False,True
0.00025,20,5,256,6,0.75,2,libero_90,0,0.0,50,False,True
0.00025,20,5,256,6,1.0,2,libero_90,0,0.02,50,False,True
0.00025,20,5,256,6,1.0,1,libero_90,0,0.4,50,False,True
0.00025,20,5,256,6,0.0,1,libero_90,0,0.02,50,False,True
0.00025,20,5,256,6,0.5,1,libero_90,0,0.34,50,False,True
0.00025,20,5,256,6,0.25,3,libero_90,0,0.34,50,False,True
0.00025,20,5,256,6,0.5,3,libero_90,0,0.22,50,False,True
0.00025,20,5,256,6,0.75,3,libero_90,0,0.24,50,False,True
0.00025,20,5,256,6,1.0,3,libero_90,0,0.3,50,False,True
0.00025,20,5,256,6,0.25,1,libero_90,0,0.24,50,False,True
0.00025,20,5,256,6,0.75,1,libero_90,0,0.2,50,False,True
0.00025,20,5,256,6,0.0,3,libero_90,0,0.08,50,False,True
