lr,ttt_frequency,ttt_num_steps,batch_size,num_neighbors_fetch,merging_eps,seed,task_suite_name,task_id,success_rate,num_trials,use_lora,action_expert_only
0.00025,20,5,32,6,0.75,2,libero_90,0,0.28,50,True,False
0.00025,20,5,32,6,0.5,3,libero_90,0,0.36,50,True,False
0.00025,20,5,32,6,0.75,3,libero_90,0,0.32,50,True,False
0.00025,20,5,32,6,0.25,3,libero_90,0,0.36,50,True,False
0.00025,20,5,32,6,0.75,1,libero_90,0,0.32,50,True,False
0.00025,20,5,32,6,0.5,1,libero_90,0,0.28,50,True,False
0.00025,20,5,32,6,1.0,1,libero_90,0,0.26,50,True,False
0.00025,20,5,32,6,0.25,1,libero_90,0,0.2,50,True,False
0.00025,20,5,32,6,0.0,1,libero_90,0,0.26,50,True,False
0.00025,20,5,32,6,0.0,3,libero_90,0,0.12,50,True,False
0.00025,20,5,32,6,1.0,2,libero_90,0,0.38,50,True,False
0.00025,20,5,32,6,0.25,2,libero_90,0,0.36,50,True,False
0.00025,20,5,32,6,0.5,2,libero_90,0,0.36,50,True,False
0.00025,20,5,32,6,1.0,3,libero_90,0,0.3,50,True,False
0.00025,20,5,32,6,0.0,2,libero_90,0,0.3,50,True,False
